row,100
abondance           ,[ 1  2 15 14  4  1 14  3  5  0  0  0  0  0  0  0  0  0  0  0]
abondante           ,[ 1  2 15 14  4  1 14 20  5  0  0  0  0  0  0  0  0  0  0  0]
abondantes          ,[ 1  2 15 14  4  1 14 20  5 19  0  0  0  0  0  0  0  0  0  0]
abonde              ,[ 1  2 15 14  4  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abondez             ,[ 1  2 15 14  4  5 26  0  0  0  0  0  0  0  0  0  0  0  0  0]
abord               ,[ 1  2 15 18  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
aborda              ,[ 1  2 15 18  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abordai             ,[ 1  2 15 18  4  1  9  0  0  0  0  0  0  0  0  0  0  0  0  0]
abordant            ,[ 1  2 15 18  4  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
aborde              ,[ 1  2 15 18  4  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
aborder             ,[ 1  2 15 18  4  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
aboucher            ,[ 1  2 15 21  3  8  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
abra                ,[ 1  2 18  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abreuvée            ,[ 1  2 18  5 21 22 27  5  0  0  0  0  0  0  0  0  0  0  0  0]
abréger             ,[ 1  2 18 27  7  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
abrégèrent          ,[ 1  2 18 27  7 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abrégé              ,[ 1  2 18 27  7 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
abrégés             ,[ 1  2 18 27  7 28 18  5 14 20  0  0  0  0  0  0  0  0  0  0]
absence             ,[ 1  2 19  5 14  3  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
absent              ,[ 1  2 19  5 14 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
absente             ,[ 1  2 19  5 14 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
absolu              ,[ 1  2 19 15 12 21  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
absolue             ,[ 1  2 19 15 12 21  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
absolument          ,[ 1  2 19 15 12 21 13  5 14 20  0  0  0  0  0  0  0  0  0  0]
absolus             ,[ 1  2 19 15 12 21 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
abstenir            ,[ 1  2 19 20  5 14  9 18  0  0  0  0  0  0  0  0  0  0  0  0]
abstinence          ,[ 1  2 19 20  9 14  5 14  3  5  0  0  0  0  0  0  0  0  0  0]
absurde             ,[ 1  2 19 21 18  4  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
abus                ,[ 1  2 21 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abusant             ,[ 1  2 21 19  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
abuse               ,[ 1  2 21 19  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abuser              ,[ 1  2 21 19  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abuserai            ,[ 1  2 21 19  5 18  1  9  0  0  0  0  0  0  0  0  0  0  0  0]
abusé               ,[ 1  2 21 19 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abusée              ,[ 1  2 21 19 27  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abusés              ,[ 1  2 21 19 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abîme               ,[ 1  2 35 13  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
abîmes              ,[ 1  2 35 13  5 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
ac                  ,[1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
acad                ,[1 3 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
académiciens        ,[ 1  3  1  4 27 13  9  3  9  5 14 19  0  0  0  0  0  0  0  0]
académie            ,[ 1  3  1  4 27 13  9  5  0  0  0  0  0  0  0  0  0  0  0  0]
académique          ,[ 1  3  1  4 27 13  9 17 21  5  0  0  0  0  0  0  0  0  0  0]
acaste              ,[ 1  3  1 19 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
accablant           ,[ 1  3  3  1  2 12  1 14 20  0  0  0  0  0  0  0  0  0  0  0]
accable             ,[ 1  3  3  1  2 12  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
accablement         ,[ 1  3  3  1  2 12  5 13  5 14 20  0  0  0  0  0  0  0  0  0]
accablent           ,[ 1  3  3  1  2 12  5 14 20  0  0  0  0  0  0  0  0  0  0  0]
accabler            ,[ 1  3  3  1  2 12  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
accablerai          ,[ 1  3  3  1  2 12  5 18  1  9  0  0  0  0  0  0  0  0  0  0]
accablerait         ,[ 1  3  3  1  2 12  5 18  1  9 20  0  0  0  0  0  0  0  0  0]
accableriez         ,[ 1  3  3  1  2 12  5 18  9  5 26  0  0  0  0  0  0  0  0  0]
accablé             ,[ 1  3  3  1  2 12 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
accablée            ,[ 1  3  3  1  2 12 27  5  0  0  0  0  0  0  0  0  0  0  0  0]
accedit             ,[ 1  3  3  5  4  9 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
accenti             ,[ 1  3  3  5 14 20  9  0  0  0  0  0  0  0  0  0  0  0  0  0]
accents             ,[ 1  3  3  5 14 20 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
accentués           ,[ 1  3  3  5 14 20 21 27 19  0  0  0  0  0  0  0  0  0  0  0]
acceptais           ,[ 1  3  3  5 16 20  1  9 19  0  0  0  0  0  0  0  0  0  0  0]
accepte             ,[ 1  3  3  5 16 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
accepter            ,[ 1  3  3  5 16 20  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
acceptez            ,[ 1  3  3  5 16 20  5 26  0  0  0  0  0  0  0  0  0  0  0  0]
acceptiez           ,[ 1  3  3  5 16 20  9  5 26  0  0  0  0  0  0  0  0  0  0  0]
acception           ,[ 1  3  3  5 16 20  9 15 14  0  0  0  0  0  0  0  0  0  0  0]
accepté             ,[ 1  3  3  5 16 20 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
accessoire          ,[ 1  3  3  5 19 19 15  9 18  5  0  0  0  0  0  0  0  0  0  0]
accident            ,[ 1  3  3  9  4  5 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
accidents           ,[ 1  3  3  9  4  5 14 20 19  0  0  0  0  0  0  0  0  0  0  0]
accommodant         ,[ 1  3  3 15 13 13 15  4  1 14 20  0  0  0  0  0  0  0  0  0]
accommodantes       ,[ 1  3  3 15 13 13 15  4  1 14 20  5 19  0  0  0  0  0  0  0]
accommode           ,[ 1  3  3 15 13 13 15  4  5  0  0  0  0  0  0  0  0  0  0  0]
accommodement       ,[ 1  3  3 15 13 13 15  4  5 13  5 14 20  0  0  0  0  0  0  0]
accommodent         ,[ 1  3  3 15 13 13 15  4  5 14 20  0  0  0  0  0  0  0  0  0]
accommoder          ,[ 1  3  3 15 13 13 15  4  5 18  0  0  0  0  0  0  0  0  0  0]
accommoderaient     ,[ 1  3  3 15 13 13 15  4  5 18  1  9  5 14 20  0  0  0  0  0]
accommoderait       ,[ 1  3  3 15 13 13 15  4  5 18  1  9 20  0  0  0  0  0  0  0]
accommodé           ,[ 1  3  3 15 13 13 15  4 27  0  0  0  0  0  0  0  0  0  0  0]
accommodées         ,[ 1  3  3 15 13 13 15  4 27  5 19  0  0  0  0  0  0  0  0  0]
accommodés          ,[ 1  3  3 15 13 13 15  4 27 19  0  0  0  0  0  0  0  0  0  0]
accompagna          ,[ 1  3  3 15 13 16  1  7 14  1  0  0  0  0  0  0  0  0  0  0]
accompagnaient      ,[ 1  3  3 15 13 16  1  7 14  1  9  5 14 20  0  0  0  0  0  0]
accompagne          ,[ 1  3  3 15 13 16  1  7 14  5  0  0  0  0  0  0  0  0  0  0]
accompagnent        ,[ 1  3  3 15 13 16  1  7 14  5 14 20  0  0  0  0  0  0  0  0]
accompagner         ,[ 1  3  3 15 13 16  1  7 14  5 18  0  0  0  0  0  0  0  0  0]
accompagnera        ,[ 1  3  3 15 13 16  1  7 14  5 18  1  0  0  0  0  0  0  0  0]
accompagné          ,[ 1  3  3 15 13 16  1  7 14 27  0  0  0  0  0  0  0  0  0  0]
accompagnée         ,[ 1  3  3 15 13 16  1  7 14 27  5  0  0  0  0  0  0  0  0  0]
accompli            ,[ 1  3  3 15 13 16 12  9  0  0  0  0  0  0  0  0  0  0  0  0]
accomplir           ,[ 1  3  3 15 13 16 12  9 18  0  0  0  0  0  0  0  0  0  0  0]
accomplira          ,[ 1  3  3 15 13 16 12  9 18  1  0  0  0  0  0  0  0  0  0  0]
accomplissement     ,[ 1  3  3 15 13 16 12  9 19 19  5 13  5 14 20  0  0  0  0  0]
accord              ,[ 1  3  3 15 18  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
accorde             ,[ 1  3  3 15 18  4  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
accordent           ,[ 1  3  3 15 18  4  5 14 20  0  0  0  0  0  0  0  0  0  0  0]
accorder            ,[ 1  3  3 15 18  4  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
accordera           ,[ 1  3  3 15 18  4  5 18  1  0  0  0  0  0  0  0  0  0  0  0]
accordez            ,[ 1  3  3 15 18  4  5 26  0  0  0  0  0  0  0  0  0  0  0  0]
accordiez           ,[ 1  3  3 15 18  4  9  5 26  0  0  0  0  0  0  0  0  0  0  0]
accordons           ,[ 1  3  3 15 18  4 15 14 19  0  0  0  0  0  0  0  0  0  0  0]
accordé             ,[ 1  3  3 15 18  4 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
accordée            ,[ 1  3  3 15 18  4 27  5  0  0  0  0  0  0  0  0  0  0  0  0]
accouchement        ,[ 1  3  3 15 21  3  8  5 13  5 14 20  0  0  0  0  0  0  0  0]
accoupler           ,[ 1  3  3 15 21 16 12  5 18  0  0  0  0  0  0  0  0  0  0  0]
accourent           ,[ 1  3  3 15 21 18  5 14 20  0  0  0  0  0  0  0  0  0  0  0]
accourez            ,[ 1  3  3 15 21 18  5 26  0  0  0  0  0  0  0  0  0  0  0  0]
accourir            ,[ 1  3  3 15 21 18  9 18  0  0  0  0  0  0  0  0  0  0  0  0]
accourt             ,[ 1  3  3 15 21 18 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
accoutume           ,[ 1  3  3 15 21 20 21 13  5  0  0  0  0  0  0  0  0  0  0  0]
accoutumer          ,[ 1  3  3 15 21 20 21 13  5 18  0  0  0  0  0  0  0  0  0  0]
accoutumé           ,[ 1  3  3 15 21 20 21 13 27  0  0  0  0  0  0  0  0  0  0  0]
accoutumée          ,[ 1  3  3 15 21 20 21 13 27  5  0  0  0  0  0  0  0  0  0  0]
accoutumés          ,[ 1  3  3 15 21 20 21 13 27 19  0  0  0  0  0  0  0  0  0  0]
accrocher           ,[ 1  3  3 18 15  3  8  5 18  0  0  0  0  0  0  0  0  0  0  0]
accroire            ,[ 1  3  3 18 15  9 18  5  0  0  0  0  0  0  0  0  0  0  0  0]
accroîtra           ,[ 1  3  3 18 15 35 20 18  1  0  0  0  0  0  0  0  0  0  0  0]
accroître           ,[ 1  3  3 18 15 35 20 18  5  0  0  0  0  0  0  0  0  0  0  0]
accrue              ,[ 1  3  3 18 21  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
accrut              ,[ 1  3  3 18 21 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
accueil             ,[ 1  3  3 21  5  9 12  0  0  0  0  0  0  0  0  0  0  0  0  0]
accueille           ,[ 1  3  3 21  5  9 12 12  5  0  0  0  0  0  0  0  0  0  0  0]
accumulation        ,[ 1  3  3 21 13 21 12  1 20  9 15 14  0  0  0  0  0  0  0  0]
accusaient          ,[ 1  3  3 21 19  1  9  5 14 20  0  0  0  0  0  0  0  0  0  0]
accusais            ,[ 1  3  3 21 19  1  9 19  0  0  0  0  0  0  0  0  0  0  0  0]
accusait            ,[ 1  3  3 21 19  1  9 20  0  0  0  0  0  0  0  0  0  0  0  0]
accusant            ,[ 1  3  3 21 19  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
accusateur          ,[ 1  3  3 21 19  1 20  5 21 18  0  0  0  0  0  0  0  0  0  0]
accusation          ,[ 1  3  3 21 19  1 20  9 15 14  0  0  0  0  0  0  0  0  0  0]
accusatrice         ,[ 1  3  3 21 19  1 20 18  9  3  5  0  0  0  0  0  0  0  0  0]
accuse              ,[ 1  3  3 21 19  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
accuser             ,[ 1  3  3 21 19  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
accusez             ,[ 1  3  3 21 19  5 26  0  0  0  0  0  0  0  0  0  0  0  0  0]
accusiez            ,[ 1  3  3 21 19  9  5 26  0  0  0  0  0  0  0  0  0  0  0  0]
accusât             ,[ 1  3  3 21 19 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
accusé              ,[ 1  3  3 21 19 27  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
accusée             ,[ 1  3  3 21 19 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
accusés             ,[ 1  3  3 21 19 32 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
accès               ,[ 1  3  3 28 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
acharnait           ,[ 1  3  8  1 18 14  1  9 20  0  0  0  0  0  0  0  0  0  0  0]
acharnement         ,[ 1  3  8  1 18 14  5 13  5 14 20  0  0  0  0  0  0  0  0  0]
acharné             ,[ 1  3  8  1 18 14 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
acheron             ,[ 1  3  8  5 18 15 14  0  0  0  0  0  0  0  0  0  0  0  0  0]
achetant            ,[ 1  3  8  5 20  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
acheter             ,[ 1  3  8  5 20  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
acheté              ,[ 1  3  8  5 20 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
achever             ,[ 1  3  8  5 22  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
achevez             ,[ 1  3  8  5 22  5 26  0  0  0  0  0  0  0  0  0  0  0  0  0]
achevons            ,[ 1  3  8  5 22 15 14 19  0  0  0  0  0  0  0  0  0  0  0  0]
achevé              ,[ 1  3  8  5 22 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
achevée             ,[ 1  3  8  5 22 27  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
achevés             ,[ 1  3  8  5 22 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
achille             ,[ 1  3  8  9 12 12  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
achète              ,[ 1  3  8 27 18 15 14  0  0  0  0  0  0  0  0  0  0  0  0  0]
achèterais          ,[ 1  3  8 28 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
achève              ,[ 1  3  8 28 20  5 18  1  9 19  0  0  0  0  0  0  0  0  0  0]
achèvent            ,[ 1  3  8 28 22  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
achèverez           ,[ 1  3  8 28 22  5 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
achéron             ,[ 1  3  8 28 22  5 18  5 26  0  0  0  0  0  0  0  0  0  0  0]
acquiert            ,[ 1  3 17 21  9  5 18 20  0  0  0  0  0  0  0  0  0  0  0  0]
acquis              ,[ 1  3 17 21  9 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
acquise             ,[ 1  3 17 21  9 19  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
acquisition         ,[ 1  3 17 21  9 19  9 20  9 15 14  0  0  0  0  0  0  0  0  0]
acquit              ,[ 1  3 17 21  9 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
acquitte            ,[ 1  3 17 21  9 20 20  5  0  0  0  0  0  0  0  0  0  0  0  0]
acquitter           ,[ 1  3 17 21  9 20 20  5 18  0  0  0  0  0  0  0  0  0  0  0]
acquitté            ,[ 1  3 17 21  9 20 20 27  0  0  0  0  0  0  0  0  0  0  0  0]
acquérir            ,[ 1  3 17 21 27 18  9 18  0  0  0  0  0  0  0  0  0  0  0  0]
acte                ,[ 1  3 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
actes               ,[ 1  3 20  5 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
acteur              ,[ 1  3 20  5 21 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
acteurs             ,[ 1  3 20  5 21 18 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
action              ,[ 1  3 20  9 15 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
actions             ,[ 1  3 20  9 15 14 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
actis               ,[ 1  3 20  9 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
actrice             ,[ 1  3 20 18  9  3  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
actuelle            ,[ 1  3 20 21  5 12 12  5  0  0  0  0  0  0  0  0  0  0  0  0]
ad                  ,[1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
additions           ,[ 1  4  4  9 20  9 15 14 19  0  0  0  0  0  0  0  0  0  0  0]
adepte              ,[ 1  4  5 16 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adieu               ,[ 1  4  9  5 21  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adieux              ,[ 1  4  9  5 21 24  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adjoutare           ,[ 1  4 10 15 21 20  1 18  5  0  0  0  0  0  0  0  0  0  0  0]
admete              ,[ 1  4 13  5 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
admets              ,[ 1  4 13  5 20 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
admirable           ,[ 1  4 13  9 18  1  2 12  5  0  0  0  0  0  0  0  0  0  0  0]
admirablement       ,[ 1  4 13  9 18  1  2 12  5 13  5 14 20  0  0  0  0  0  0  0]
admirables          ,[ 1  4 13  9 18  1  2 12  5 19  0  0  0  0  0  0  0  0  0  0]
admirait            ,[ 1  4 13  9 18  1  9 20  0  0  0  0  0  0  0  0  0  0  0  0]
admirant            ,[ 1  4 13  9 18  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
admirari            ,[ 1  4 13  9 18  1 18  9  0  0  0  0  0  0  0  0  0  0  0  0]
admirateur          ,[ 1  4 13  9 18  1 20  5 21 18  0  0  0  0  0  0  0  0  0  0]
admirateurs         ,[ 1  4 13  9 18  1 20  5 21 18 19  0  0  0  0  0  0  0  0  0]
admiration          ,[ 1  4 13  9 18  1 20  9 15 14  0  0  0  0  0  0  0  0  0  0]
admire              ,[ 1  4 13  9 18  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
admirer             ,[ 1  4 13  9 18  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
admirez             ,[ 1  4 13  9 18  5 26  0  0  0  0  0  0  0  0  0  0  0  0  0]
admirons            ,[ 1  4 13  9 18 15 14 19  0  0  0  0  0  0  0  0  0  0  0  0]
adonis              ,[ 1  4 15 14  9 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adoption            ,[ 1  4 15 16 20  9 15 14  0  0  0  0  0  0  0  0  0  0  0  0]
adorable            ,[ 1  4 15 18  1  2 12  5  0  0  0  0  0  0  0  0  0  0  0  0]
adorables           ,[ 1  4 15 18  1  2 12  5 19  0  0  0  0  0  0  0  0  0  0  0]
adorais             ,[ 1  4 15 18  1  9 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
adorant             ,[ 1  4 15 18  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
adorateur           ,[ 1  4 15 18  1 20  5 21 18  0  0  0  0  0  0  0  0  0  0  0]
adore               ,[ 1  4 15 18  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adorer              ,[ 1  4 15 18  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adoreront           ,[ 1  4 15 18  5 18 15 14 20  0  0  0  0  0  0  0  0  0  0  0]
adoriez             ,[ 1  4 15 18  9  5 26  0  0  0  0  0  0  0  0  0  0  0  0  0]
adoro               ,[ 1  4 15 18 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adoré               ,[ 1  4 15 18 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adorée              ,[ 1  4 15 18 27  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adouci              ,[ 1  4 15 21  3  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adoucie             ,[ 1  4 15 21  3  9  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
adoucir             ,[ 1  4 15 21  3  9 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
adoucirez           ,[ 1  4 15 21  3  9 18  5 26  0  0  0  0  0  0  0  0  0  0  0]
adoucissante        ,[ 1  4 15 21  3  9 19 19  1 14 20  5  0  0  0  0  0  0  0  0]
adoucit             ,[ 1  4 15 21  3  9 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
adraste             ,[ 1  4 18  1 19 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
adressant           ,[ 1  4 18  5 19 19  1 14 20  0  0  0  0  0  0  0  0  0  0  0]
adresse             ,[ 1  4 18  5 19 19  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
adressent           ,[ 1  4 18  5 19 19  5 14 20  0  0  0  0  0  0  0  0  0  0  0]
adresser            ,[ 1  4 18  5 19 19  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
adresses            ,[ 1  4 18  5 19 19  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
adressé             ,[ 1  4 18  5 19 19 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
adressée            ,[ 1  4 18  5 19 19 27  5  0  0  0  0  0  0  0  0  0  0  0  0]
adressées           ,[ 1  4 18  5 19 19 27  5 19  0  0  0  0  0  0  0  0  0  0  0]
adressés            ,[ 1  4 18  5 19 19 27 19  0  0  0  0  0  0  0  0  0  0  0  0]
adrienne            ,[ 1  4 18  9  5 14 14  5  0  0  0  0  0  0  0  0  0  0  0  0]
adroit              ,[ 1  4 18 15  9 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adroite             ,[ 1  4 18 15  9 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
adroitement         ,[ 1  4 18 15  9 20  5 13  5 14 20  0  0  0  0  0  0  0  0  0]
adroites            ,[ 1  4 18 15  9 20  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
adultère            ,[ 1  4 21 12 20 28 18  5  0  0  0  0  0  0  0  0  0  0  0  0]
advenu              ,[ 1  4 22  5 14 21  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
adversaire          ,[ 1  4 22  5 18 19  1  9 18  5  0  0  0  0  0  0  0  0  0  0]
adversité           ,[ 1  4 22  5 18 19  9 20 27  0  0  0  0  0  0  0  0  0  0  0]
advient             ,[ 1  4 22  9  5 14 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
adélaïde            ,[ 1  4 27 12  1 38  4  5  0  0  0  0  0  0  0  0  0  0  0  0]
aegiale             ,[ 1  5  7  9  1 12  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
aegine              ,[ 1  5  7  9 14  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
affabilité          ,[ 1  6  6  1  2  9 12  9 20 27  0  0  0  0  0  0  0  0  0  0]
affables            ,[ 1  6  6  1  2 12  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
affaiblir           ,[ 1  6  6  1  9  2 12  9 18  0  0  0  0  0  0  0  0  0  0  0]
affaiblit           ,[ 1  6  6  1  9  2 12  9 20  0  0  0  0  0  0  0  0  0  0  0]
affaire             ,[ 1  6  6  1  9 18  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
affaires            ,[ 1  6  6  1  9 18  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
affairé             ,[ 1  6  6  1  9 18 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
affaissées          ,[ 1  6  6  1  9 19 19 27  5 19  0  0  0  0  0  0  0  0  0  0]
affamé              ,[ 1  6  6  1 13 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
affamés             ,[ 1  6  6  1 13 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
affanno             ,[ 1  6  6  1 14 14 15  0  0  0  0  0  0  0  0  0  0  0  0  0]
affectai            ,[ 1  6  6  5  3 20  1  9  0  0  0  0  0  0  0  0  0  0  0  0]
affectation         ,[ 1  6  6  5  3 20  1 20  9 15 14  0  0  0  0  0  0  0  0  0]
affecte             ,[ 1  6  6  5  3 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
affectent           ,[ 1  6  6  5  3 20  5 14 20  0  0  0  0  0  0  0  0  0  0  0]
